"[13101112726A]등급별","등급별","[13101112726B]도매시장별","도매시장별","[Item]항목","항목","단위","2016. 04 월","2016. 03 월","2016. 02 월","2016. 01 월","2015. 12 월","2015. 11 월","2015. 10 월","2015. 09 월","2015. 08 월","2015. 07 월","2015. 06 월","2015. 05 월","2015. 04 월","2015. 03 월","2015. 02 월","2015. 01 월","2014. 12 월","2014. 11 월","2014. 10 월","2014. 09 월","2014. 08 월","2014. 07 월","2014. 06 월","2014. 05 월","2014. 04 월","2014. 03 월","2014. 02 월","2014. 01 월","2013. 12 월","2013. 11 월","2013. 10 월","2013. 09 월","2013. 08 월","2013. 07 월","2013. 06 월","2013. 05 월","2013. 04 월","2013. 03 월","2013. 02 월","2013. 01 월","2012. 12 월","2012. 11 월","2012. 10 월","2012. 09 월","2012. 08 월","2012. 07 월","2012. 06 월","2012. 05 월","2012. 04 월","2012. 03 월","2012. 02 월","2012. 01 월","2011. 12 월","2011. 11 월","2011. 10 월","2011. 09 월","2011. 08 월","2011. 07 월","2011. 06 월","2011. 05 월","2011. 04 월","2011. 03 월","2011. 02 월","2011. 01 월",
"13102112726A.001","전체","13102112726B.001","전체","13103112726T1[14STD04355]","두수[두]","두","118847","136114","126099","132269","150794","127071","141427","140368","108540","119915","116659","108250","125774","133955","119947","134056","155155","127244","140337","136941","140275","131330","114001","125793","142682","138437","135861","176166","171897","163727","202465","174502","156719","148439","130894","148467","147295","152492","165008","179579","143539","163723","166413","146297","123548","113526","111178","114665","102476","116531","110919","109736","105306","106723","109090","109398","99411","84476","83413","94509","107374","105729","80814","136175",
"13102112726A.001","전체","13102112726B.001","전체","13103112726T2[14STD05638]","경락가격[원/㎏]","원/㎏","4077","3916","3664","4108","4093","4409","3987","4528","4948","5151","5138","5307","4616","4340","4485","4417","4714","5158","4517","4674","4858","4803","5374","4665","4495","4404","3723","3375","3747","3711","3106","3712","3769","3522","3968","3319","3303","2669","2766","2850","3129","3326","2876","3380","3715","3965","4283","4337","3869","4020","4002","4396","5419","4986","4121","4726","5296","5589","6549","6437","5497","6059","5745","5808",
"13102112726A.001","전체","13102112726B.002","농협서울","13103112726T1[14STD04355]","두수[두]","두","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4911","11148",
"13102112726A.001","전체","13102112726B.002","농협서울","13103112726T2[14STD05638]","경락가격[원/㎏]","원/㎏","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6727","6313",
"13102112726A.001","전체","13102112726B.003","(주)협진","13103112726T1[14STD04355]","두수[두]","두","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"13102112726A.001","전체","13102112726B.003","(주)협진","13103112726T2[14STD05638]","경락가격[원/㎏]","원/㎏","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"13102112726A.001","전체","13102112726B.004","협신식품","13103112726T1[14STD04355]","두수[두]","두","10391","12355","10915","12405","14415","11856","13207","11995","9215","10247","11358","10428","12025","12835","11593","13428","15542","12277","14436","12768","12972","12530","10326","12464","14317","13864","13125","15550","16249","16658","22372","16858","13014","12158","11467","14155","13343","12706","13611","14472","13040","14659","16113","14171","11855","10966","9692","11376","9978","10866","10689","9403","9258","9725","8937","7679","6938","6402","6664","7004","7995","7242","4113","4847",
"13102112726A.001","전체","13102112726B.004","협신식품","13103112726T2[14STD05638]","경락가격[원/㎏]","원/㎏","4914","4632","4034","4759","4830","5209","4498","5037","5961","6259","6080","6291","5310","4948","4894","4772","5395","6029","5054","5348","5698","5617","6512","5506","5032","5125","4187","3736","4002","4119","3231","4135","4580","4411","4805","4078","3894","3267","3105","3097","3541","3998","2922","3463","4523","4737","5353","4883","4431","4483","4534","4808","6277","5789","4587","5520","6469","6765","7820","7507","6155","6847","7006","7347",
"13102112726A.001","전체","13102112726B.005","동원산업","13103112726T1[14STD04355]","두수[두]","두","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"13102112726A.001","전체","13102112726B.005","동원산업","13103112726T2[14STD05638]","경락가격[원/㎏]","원/㎏","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"13102112726A.001","전체","13102112726B.006","부경축공","13103112726T1[14STD04355]","두수[두]","두","18402","21108","21984","20452","23029","18031","19768","21721","16818","17460","18853","17729","19376","22495","18701","20481","22705","19051","19983","19607","16919","16558","15932","19455","20524","20417","18178","23709","22415","20517","26232","23430","21991","19781","19446","22335","20634","18355","20700","23686","20550","22599","18547","","14559","16867","16595","16588","15336","16743","15422","15123","16483","16030","15852","16047","14064","13527","12584","13213","16224","14414","4416","16040",
"13102112726A.001","전체","13102112726B.006","부경축공","13103112726T2[14STD05638]","경락가격[원/㎏]","원/㎏","2937","2837","2778","3118","3295","3351","3069","3540","3589","3723","3604","3609","3618","3371","3857","3917","4250","4413","3799","3981","4063","4147","4512","3927","3935","3655","3188","3168","3440","3055","2656","2879","2808","2728","2945","2669","2643","2308","2393","2382","2674","2660","2486","","2883","3335","3329","3325","3216","3368","3474","3959","4503","4096","3677","4019","4102","4685","5228","5337","4875","5515","5654","5228",
"13102112726A.001","전체","13102112726B.007","신흥산업","13103112726T1[14STD04355]","두수[두]","두","10297","11253","10455","11101","13198","10188","13211","12936","9290","11106","9589","9390","10556","12072","9903","10146","12497","10590","12778","11605","13690","12316","10172","9874","11764","11430","10293","13219","12761","12555","15571","14384","13308","12017","9794","11243","10758","11942","13026","13648","11017","13008","14063","12266","10513","10209","9757","10075","8717","9530","10135","9488","9793","9105","8809","9990","9443","8114","8182","9336","8703","11057","10670","17581",
"13102112726A.001","전체","13102112726B.007","신흥산업","13103112726T2[14STD05638]","경락가격[원/㎏]","원/㎏","3885","3722","3456","3817","3897","4131","3525","3943","4497","4679","4962","5226","4518","4055","4215","4032","4339","4957","4121","4294","4560","4465","5239","4403","4239","4140","3565","3216","3528","3562","2750","3258","3414","3215","3629","3063","3155","2633","2601","2652","3007","3104","2627","3182","3545","3764","3899","4226","3735","3974","3799","4432","5521","4998","3969","4641","5189","5444","6410","6539","5398","5961","5304","5580",
"13102112726A.001","전체","13102112726B.008","삼성식품","13103112726T1[14STD04355]","두수[두]","두","4505","5368","4729","5486","5837","5673","5696","4842","4237","4543","5346","4393","5796","5300","4466","5610","6324","5375","5550","5585","5265","5323","5277","5083","6333","6558","6162","7589","7711","8185","8682","7223","6761","5767","5323","6649","6121","7101","6705","7468","6809","7846","7284","7417","5723","5772","5244","5670","5633","5930","5702","5412","5361","5634","5556","4944","4383","3540","4195","4264","5397","4990","2476","2521",
"13102112726A.001","전체","13102112726B.008","삼성식품","13103112726T2[14STD05638]","경락가격[원/㎏]","원/㎏","4393","4144","3889","4516","4699","4753","4207","5108","5496","5804","5647","5779","4716","4804","4730","4683","5112","5472","4729","4852","5176","5134","5220","4966","4811","4569","3877","3642","4096","3925","3103","4033","4002","3797","4419","3580","3630","2869","2816","2909","3356","3530","2895","3206","4047","4175","4599","4833","4252","4114","4494","4598","6055","5295","4604","5342","5888","6334","7098","6495","5787","6199","6083","6391",
"13102112726A.001","전체","13102112726B.009","삼호축산","13103112726T1[14STD04355]","두수[두]","두","953","1062","1121","958","1273","1094","1422","1317","976","1079","903","977","937","1158","1052","1358","1341","1048","1031","1165","1078","1203","966","1387","1352","1045","1216","1973","1977","1858","1867","1615","1613","1769","1598","1820","1667","1572","1703","1759","1740","1988","1609","2232","1670","1666","1667","1667","1517","1610","1424","1813","1774","1787","1564","1749","1474","1333","1712","2023","2241","2649","1767","3103",
"13102112726A.001","전체","13102112726B.009","삼호축산","13103112726T2[14STD05638]","경락가격[원/㎏]","원/㎏","4160","3871","3528","3943","3942","4252","3453","4506","4872","5009","4875","4752","4448","4122","4341","3914","4528","4963","4290","4588","4570","4261","4773","4153","4000","4402","3340","3045","3204","3148","2689","3713","3595","3284","3672","3281","3287","2643","2712","2607","3053","3058","2651","3029","3411","3704","4018","4030","3690","3818","3763","4099","5142","4442","3670","4600","4965","5142","6163","6119","5162","5691","5466","5176",
"13102112726A.001","전체","13102112726B.010","장원식품","13103112726T1[14STD04355]","두수[두]","두","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"13102112726A.001","전체","13102112726B.010","장원식품","13103112726T2[14STD05638]","경락가격[원/㎏]","원/㎏","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"13102112726A.001","전체","13102112726B.011","제주축협","13103112726T1[14STD04355]","두수[두]","두","21832","22869","20378","22872","22939","20726","20539","22176","19845","21482","19515","19006","21723","22358","21459","22763","24270","20008","21499","21277","25841","22034","20464","20211","24634","22638","24295","30787","27536","24179","25268","25661","24379","22491","18394","21000","22986","22912","24530","25670","22204","24452","22565","26246","23620","21097","19841","20797","19555","23409","22753","22152","19947","21201","21530","20859","22693","16319","16127","18829","19138","20221","14967","31093",
"13102112726A.001","전체","13102112726B.011","제주축협","13103112726T2[14STD05638]","경락가격[원/㎏]","원/㎏","4942","4783","5003","5748","5297","5479","6186","6847","6724","6874","6688","6783","5800","5717","5804","5732","5800","6063","5848","5857","5642","5808","6116","5496","5241","5215","4320","4181","4495","4480","4699","5090","4940","4512","5449","4379","4157","3225","3463","3701","3947","4119","3930","4668","4837","5009","5610","5338","4525","4791","4417","5053","5940","5469","4671","5490","6223","6440","7494","7068","6230","6542","6051","5952",
"13102112726A.001","전체","13102112726B.012","농협부천","13103112726T1[14STD04355]","두수[두]","두","3601","5735","4086","4987","5593","4750","4159","4305","3859","4792","5004","4766","4753","4542","5694","7171","7933","6118","6384","6669","6521","7229","6214","6732","7321","7768","7541","9173","9808","10043","13267","9830","9648","10311","8981","10953","10182","10721","9895","10831","9313","10352","10831","9849","7593","7479","6996","7224","6097","7796","7041","6844","5884","5996","7089","6355","4471","4043","5277","6506","8002","6382","2456","5301",
"13102112726A.001","전체","13102112726B.012","농협부천","13103112726T2[14STD05638]","경락가격[원/㎏]","원/㎏","3625","3620","3171","3806","3565","3960","3652","4266","4691","4730","4869","4796","4197","4413","4230","4306","4590","4837","4338","4566","4746","4727","4986","4527","4248","4339","3679","3297","3666","3531","2903","3583","3645","3549","3747","3325","3380","2580","2787","2799","3084","3357","2733","3070","3565","3653","4020","4214","3880","3948","4058","4436","5373","5056","4040","4721","5529","5867","6540","6281","5139","6120","6216","6434",
"13102112726A.001","전체","13102112726B.013","농협고령","13103112726T1[14STD04355]","두수[두]","두","8217","9936","8569","9343","9789","9577","10823","12231","8704","10301","8751","7988","10302","9660","7858","8800","11140","8689","9557","10777","11531","9846","8086","8551","9959","8890","8949","12413","11323","11354","14583","12728","10233","10652","8353","9500","8960","10504","10360","13623","8682","11045","11066","10863","8011","7252","6042","6964","6575","7938","7070","7626","7007","7115","6995","7865","7071","5725","5876","6524","7056","8244","8715","14254",
"13102112726A.001","전체","13102112726B.013","농협고령","13103112726T2[14STD05638]","경락가격[원/㎏]","원/㎏","4178","3997","3589","3986","4102","4410","3721","4202","4929","5094","5224","5424","4600","4294","4453","4223","4607","5130","4306","4491","4794","4768","5486","4609","4405","4403","3765","3297","3652","3759","2848","3528","3832","3527","4110","3312","3405","2735","2770","2805","3056","3290","2734","3170","3758","3945","4313","4574","3887","4197","4042","4512","5757","5179","4159","4797","5560","5825","6794","6678","5719","6279","5266","5670",
"13102112726A.001","전체","13102112726B.014","농협나주","13103112726T1[14STD04355]","두수[두]","두","4265","5672","4821","4717","7249","5048","5646","6681","4234","4110","4064","3614","3791","4139","4440","5468","5529","3759","3597","3998","4277","4315","2959","3297","4313","3743","3532","6124","6154","6310","8940","7461","6422","5946","5683","4292","4792","6987","10911","9716","5301","8569","7977","5909","4829","5092","4621","4605","4072","4556","4758","5976","5531","5145","5488","6224","6247","5043","4772","5266","5553","5678","6647","10931",
"13102112726A.001","전체","13102112726B.014","농협나주","13103112726T2[14STD05638]","경락가격[원/㎏]","원/㎏","3879","3602","3484","3745","3706","4035","3508","4142","4603","4875","4996","5275","4525","4196","4241","3972","4484","5052","4385","4623","4505","4496","5207","4586","4364","4288","3386","3078","3471","3488","2766","3433","3272","3241","3469","3121","3113","2471","2543","2664","2985","3063","2626","3118","3228","3556","3952","4036","3848","3920","3830","4100","5419","4929","3869","4624","4926","5254","6248","6402","5448","5969","5349","5633",
"13102112726A.001","전체","13102112726B.015","김해축공","13103112726T1[14STD04355]","두수[두]","두","17857","20602","18668","19171","21596","18508","20440","18024","14772","15004","14907","14600","16595","17904","15557","16265","19350","15845","17522","15963","15211","15862","14416","15610","16272","15615","14348","20155","18942","18625","20231","19152","18370","16923","16054","18572","18792","18097","16654","19498","16332","17697","21462","32710","18126","14288","14280","15639","13645","15618","13573","12664","12278","12999","12567","13198","12621","11244","10772","11699","14338","14641","18003","14242",
"13102112726A.001","전체","13102112726B.015","김해축공","13103112726T2[14STD05638]","경락가격[원/㎏]","원/㎏","3572","3538","3361","3530","3831","3906","3554","4276","4396","4760","4760","4554","4195","3804","4078","4072","4538","4650","4157","4369","4555","4538","4722","4286","4296","4142","3508","3327","3810","3273","2967","3624","3194","3237","3323","2977","3002","2597","2628","2578","3018","3030","2713","3208","3383","3716","3710","3780","3502","3700","3740","4219","4910","4437","3872","4386","4494","5123","5927","5816","5149","5552","5705","5437",
"13102112726A.001","전체","13102112726B.016","도드람","13103112726T1[14STD04355]","두수[두]","두","8657","9283","7773","9336","10350","9810","10501","8591","6875","8962","8127","6980","8121","8560","7617","9776","11290","11092","11239","9413","8736","7517","6417","10459","10213","10636","11503","14523","14329","11388","17953","14326","9627","9523","7389","9314","11875","10962","15817","16411","10909","13008","13157","6509","4557","4198","6525","5681","4104","4509","4119","4037","4011","4311","6013","4207","2294","1500","1251","2095","2601","1174","35","1089",
"13102112726A.001","전체","13102112726B.016","도드람","13103112726T2[14STD05638]","경락가격[원/㎏]","원/㎏","4393","4419","3726","4135","4259","4679","3888","4579","5275","5293","5518","5690","5090","4628","4597","4499","4769","5404","4649","4712","5233","4894","5936","4895","4634","4652","3821","3325","3674","3933","3161","3810","4307","3833","4339","3534","3366","2769","2859","3010","3142","3584","2912","3241","4026","4461","4512","4621","4111","4236","4179","4287","6000","5625","4179","4741","6004","6270","7245","7080","5659","6058","6150","5514",
"13102112726A.001","전체","13102112726B.017","익산","13103112726T1[14STD04355]","두수[두]","두","1189","1152","723","928","1177","1001","1121","917","1024","1077","1086","794","1138","1142","821","1052","1193","1109","1334","1109","1302","1582","1336","1140","1439","1647","1343","1364","1734","2117","2704","1325","1307","1976","1018","2057","2115","1962","0","0","0","107","65","0","0","0","0","0","0","0","0","0","0","13","168","654","681","655","246","396","636","1000","1638","4025",
"13102112726A.001","전체","13102112726B.017","익산","13103112726T2[14STD05638]","경락가격[원/㎏]","원/㎏","4567","4309","3786","4238","4533","4747","4119","5057","5557","5768","5679","5750","4865","4475","4428","4276","4917","5341","4571","4981","5059","5130","5735","4912","4594","4627","3779","3344","3734","3801","2992","3944","4223","3970","4400","3635","3483","2869","","","","2925","3155","","","","","","","","","","","5746","4080","5137","5880","6288","7428","7066","5802","6533","6276","6333",
"13102112726A.001","전체","13102112726B.018","농협음성","13103112726T1[14STD04355]","두수[두]","두","8681","9719","11877","10513","14349","10809","14894","14632","8691","9752","9156","7585","10661","11790","10786","11738","16041","12283","15427","17005","16932","15015","11436","11530","14241","14186","15376","19587","20958","19938","24795","20509","20046","19125","17394","16577","15070","18671","21096","22797","17642","18393","21674","18125","12492","8640","9918","8379","7247","8026","8233","9198","7979","7662","8522","9627","7031","7031","5755","7354","9490","8037","","0",
"13102112726A.001","전체","13102112726B.018","농협음성","13103112726T2[14STD05638]","경락가격[원/㎏]","원/㎏","3796","3835","3447","3777","3833","4097","3577","4163","4168","4366","4610","4833","4187","4154","4224","4377","4629","5003","4388","4410","4654","4732","5254","4592","4558","4331","3528","3269","3645","3569","2908","3498","3374","3199","3628","3279","3186","2469","2758","2741","3041","3315","2843","3042","3442","3694","3999","4124","3802","3739","3928","4050","5253","4949","4116","4552","5265","5527","6754","6489","5445","6225","","",
"13102112726A.002","1+A","13102112726B.001","전체","13103112726T1[14STD04355]","두수[두]","두","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6282","7948","9079","6473","5537","5260","4889","5848","7486","6239","3825","3364","3555","3814","3509","3555","3379","3161","3241","3731","4352","3714","2736","2395","2345","1287","1069","861","705","1328",
"13102112726A.002","1+A","13102112726B.001","전체","13103112726T2[14STD05638]","경락가격[원/㎏]","원/㎏","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4900","4013","3876","3218","3247","3389","3782","3844","3387","4028","4732","4935","5274","5154","4615","4716","4625","5078","6442","5735","4661","5581","6487","6839","7739","7460","6207","6892","6296","6355",
"13102112726A.002","1+A","13102112726B.002","농협서울","13103112726T1[14STD04355]","두수[두]","두","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35","93",
"13102112726A.002","1+A","13102112726B.002","농협서울","13103112726T2[14STD05638]","경락가격[원/㎏]","원/㎏","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7857","7293",
"13102112726A.002","1+A","13102112726B.003","(주)협진","13103112726T1[14STD04355]","두수[두]","두","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"13102112726A.002","1+A","13102112726B.003","(주)협진","13103112726T2[14STD05638]","경락가격[원/㎏]","원/㎏","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"13102112726A.002","1+A","13102112726B.004","협신식품","13103112726T1[14STD04355]","두수[두]","두","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","586","832","832","507","679","524","439","355","610","675","668","499","530","853","607","456","356","441","356","326","316","375","316","291","427","193","48","35","76","76",
"13102112726A.002","1+A","13102112726B.004","협신식품","13103112726T2[14STD05638]","경락가격[원/㎏]","원/㎏","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5448","4611","4337","3704","3599","3622","4039","4545","3435","4225","5049","5262","5878","5449","5072","5146","5240","5591","7169","6428","5124","6343","7430","7281","8414","8178","6918","7700","7707","7899",
"13102112726A.002","1+A","13102112726B.005","동원산업","13103112726T1[14STD04355]","두수[두]","두","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"13102112726A.002","1+A","13102112726B.005","동원산업","13103112726T2[14STD05638]","경락가격[원/㎏]","원/㎏","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"13102112726A.002","1+A","13102112726B.006","부경축공","13103112726T1[14STD04355]","두수[두]","두","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","811","1151","1202","1227","575","620","581","976","784","","269","534","555","489","386","520","640","574","665","676","574","468","387","352","307","230","282","193","38","276",
"13102112726A.002","1+A","13102112726B.006","부경축공","13103112726T2[14STD05638]","경락가격[원/㎏]","원/㎏","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5137","4179","4103","3473","3487","3451","4136","4063","3495","","5202","5368","5518","5330","4613","4943","4870","5396","6984","5774","5084","6218","6712","7043","8000","7628","6466","6942","6378","6145",
"13102112726A.002","1+A","13102112726B.007","신흥산업","13103112726T1[14STD04355]","두수[두]","두","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","319","386","447","277","380","331","220","274","338","247","130","102","117","92","145","231","198","117","64","113","229","196","150","127","154","115","74","54","92","187",
"13102112726A.002","1+A","13102112726B.007","신흥산업","13103112726T2[14STD05638]","경락가격[원/㎏]","원/㎏","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4636","3761","3720","3095","2832","3008","3439","3507","2917","3698","4652","4624","4902","4875","4247","4445","4216","4693","6252","5599","4313","5330","5893","6265","7270","6982","5958","6552","5709","6178",
"13102112726A.002","1+A","13102112726B.008","삼성식품","13103112726T1[14STD04355]","두수[두]","두","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","231","343","256","264","140","200","174","228","386","370","237","193","185","100","59","131","147","186","166","181","200","185","132","193","55","20","26","4","6","13",
"13102112726A.002","1+A","13102112726B.008","삼성식품","13103112726T2[14STD05638]","경락가격[원/㎏]","원/㎏","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5504","4511","4416","3772","3560","3662","4055","4303","3439","3981","4981","5034","6031","5698","5035","4924","5151","5492","7159","5988","5186","6240","7081","7500","8382","8454","6955","6999","6465","",
"13102112726A.002","1+A","13102112726B.009","삼호축산","13103112726T1[14STD04355]","두수[두]","두","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","146","135","136","89","66","42","56","70","84","79","67","68","59","80","78","116","61","19","86","24","67","37","14","29","74","28","9","0","1","0",
"13102112726A.002","1+A","13102112726B.009","삼호축산","13103112726T2[14STD05638]","경락가격[원/㎏]","원/㎏","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4386","3823","3782","3095","3021","3089","3657","3756","3126","3628","4364","4541","4891","4570","4221","4166","4301","4854","5962","5596","4389","5397","6088","6690","7429","6905","5778","","5550","",
"13102112726A.002","1+A","13102112726B.010","장원식품","13103112726T1[14STD04355]","두수[두]","두","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"13102112726A.002","1+A","13102112726B.010","장원식품","13103112726T2[14STD05638]","경락가격[원/㎏]","원/㎏","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"13102112726A.002","1+A","13102112726B.011","제주축협","13103112726T1[14STD04355]","두수[두]","두","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","919","979","1242","869","761","624","984","883","1335","1163","772","401","432","571","887","514","486","540","652","923","1169","793","629","344","322","64","79","87","36","133",
"13102112726A.002","1+A","13102112726B.011","제주축협","13103112726T2[14STD05638]","경락가격[원/㎏]","원/㎏","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5766","4502","4352","3471","3836","4139","4333","4296","4181","4846","5065","5180","5797","5485","4781","5049","4805","5399","6243","5676","4829","5652","6377","6698","7787","7485","6539","6786","6360","6399",
"13102112726A.002","1+A","13102112726B.012","농협부천","13103112726T1[14STD04355]","두수[두]","두","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","640","703","757","381","324","238","272","355","427","311","253","312","224","295","186","161","156","202","191","186","221","248","198","196","221","193","131","90","25","84",
"13102112726A.002","1+A","13102112726B.012","농협부천","13103112726T2[14STD05638]","경락가격[원/㎏]","원/㎏","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5238","4512","4315","3825","3667","3810","4194","4287","3565","4097","4787","5006","5632","5344","5003","5128","4888","5201","7112","6266","4884","6180","7493","7218","8176","7878","6955","7276","6882","7137",
"13102112726A.002","1+A","13102112726B.013","농협고령","13103112726T1[14STD04355]","두수[두]","두","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","285","262","433","169","219","107","80","135","144","162","97","134","174","210","159","167","179","99","122","203","168","125","85","74","83","53","19","30","6","19",
"13102112726A.002","1+A","13102112726B.013","농협고령","13103112726T2[14STD05638]","경락가격[원/㎏]","원/㎏","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4637","3837","3833","3006","2965","3072","3363","3490","2988","3661","4530","4498","4885","4972","4169","4585","4400","4969","6352","5350","4496","5318","6297","6801","7229","7016","6075","6978","5920","5934",
"13102112726A.002","1+A","13102112726B.014","농협나주","13103112726T1[14STD04355]","두수[두]","두","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","205","182","217","158","207","258","169","398","491","295","104","149","113","152","224","242","206","211","132","135","224","218","197","121","101","53","57","64","105","152",
"13102112726A.002","1+A","13102112726B.014","농협나주","13103112726T2[14STD05638]","경락가격[원/㎏]","원/㎏","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4311","3893","3750","2801","2768","2969","3615","3409","3015","3574","4494","4526","4913","4873","4431","4603","4301","4358","6093","5451","4227","5366","5746","6238","7417","7137","6035","6521","5770","6031",
"13102112726A.002","1+A","13102112726B.015","김해축공","13103112726T1[14STD04355]","두수[두]","두","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","615","930","1449","864","648","796","695","781","1086","1337","451","453","426","457","342","586","550","362","378","472","624","412","297","293","276","214","196","143","272","249",
"13102112726A.002","1+A","13102112726B.015","김해축공","13103112726T2[14STD05638]","경락가격[원/㎏]","원/㎏","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5162","4299","4078","3587","3667","3622","4079","4055","3665","4506","5246","5472","5840","5429","4789","4958","4800","5438","6873","5753","4912","6162","6629","7202","7928","7683","6448","6979","6456","6321",
"13102112726A.002","1+A","13102112726B.016","도드람","13103112726T1[14STD04355]","두수[두]","두","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","543","825","1030","796","831","677","466","548","627","542","347","230","415","294","239","214","171","120","169","205","295","191","78","59","56","36","42","16","0","7",
"13102112726A.002","1+A","13102112726B.016","도드람","13103112726T2[14STD05638]","경락가격[원/㎏]","원/㎏","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4539","3732","3538","2990","3119","3272","3401","3737","3151","3525","4273","4794","4802","4988","4384","4559","4479","4551","6403","5768","4395","4868","6239","6562","7350","7322","6008","6766","","5699",
"13102112726A.002","1+A","13102112726B.017","익산","13103112726T1[14STD04355]","두수[두]","두","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85","224","226","132","0","0","0","4","7","0","0","0","0","0","0","0","0","0","0","0","10","37","8","11","4","0","0","6","13","39",
"13102112726A.002","1+A","13102112726B.017","익산","13103112726T2[14STD05638]","경락가격[원/㎏]","원/㎏","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4513","3721","3596","3056","","","","3355","3207","","","","","","","","","","","","4270","4958","6106","6536","7709","","","6764","6437","6864",
"13102112726A.002","1+A","13102112726B.018","농협음성","13103112726T1[14STD04355]","두수[두]","두","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","897","996","852","740","707","843","753","841","1167","1058","430","289","325","221","197","217","229","290","260","287","255","429","245","305","265","88","106","139","","",
"13102112726A.002","1+A","13102112726B.018","농협음성","13103112726T2[14STD05638]","경락가격[원/㎏]","원/㎏","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5053","4241","4246","3517","3406","3650","3972","4364","3290","3786","4590","5163","5520","5367","4994","4980","4910","4992","6737","6566","4935","5584","6977","7135","8260","7917","6653","7563","","",
