"[13101112726A]등급별","등급별","[13101112726B]도매시장별","도매시장별","[Item]항목","항목","단위","2016. 04 월","2016. 03 월","2016. 02 월","2016. 01 월","2015. 12 월","2015. 11 월","2015. 10 월","2015. 09 월","2015. 08 월","2015. 07 월","2015. 06 월","2015. 05 월","2015. 04 월","2015. 03 월","2015. 02 월","2015. 01 월","2014. 12 월","2014. 11 월","2014. 10 월","2014. 09 월","2014. 08 월","2014. 07 월","2014. 06 월","2014. 05 월","2014. 04 월","2014. 03 월","2014. 02 월","2014. 01 월","2013. 12 월","2013. 11 월","2013. 10 월","2013. 09 월","2013. 08 월","2013. 07 월","2013. 06 월","2013. 05 월","2013. 04 월","2013. 03 월","2013. 02 월","2013. 01 월","2012. 12 월","2012. 11 월","2012. 10 월","2012. 09 월","2012. 08 월","2012. 07 월","2012. 06 월","2012. 05 월","2012. 04 월","2012. 03 월","2012. 02 월","2012. 01 월","2011. 12 월","2011. 11 월","2011. 10 월","2011. 09 월","2011. 08 월","2011. 07 월","2011. 06 월","2011. 05 월","2011. 04 월","2011. 03 월","2011. 02 월","2011. 01 월",
"13102112726A.012","2C","13102112726B.017","익산","13103112726T1[14STD04355]","두수[두]","두","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","195","337","356","503","0","0","0","35","15","0","0","0","0","0","0","0","0","0","0","5","25","90","187","119","82","47","52","68","114","316",
"13102112726A.012","2C","13102112726B.017","익산","13103112726T2[14STD05638]","경락가격[원/㎏]","원/㎏","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4191","3476","3197","2596","","","","2554","3097","","","","","","","","","","","4967","3807","4951","5524","5799","7159","6858","5517","6161","5889","6116",
"13102112726A.012","2C","13102112726B.018","농협음성","13103112726T1[14STD04355]","두수[두]","두","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5411","4881","4826","6027","7052","7806","5848","5850","6949","5486","4375","2186","2603","2061","2282","2527","2598","2624","2262","2684","2743","2402","2074","1957","1911","437","588","493","","0",
"13102112726A.012","2C","13102112726B.018","농협음성","13103112726T2[14STD05638]","경락가격[원/㎏]","원/㎏","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3967","3357","3329","2555","2638","2476","2795","3411","2710","2942","3557","3846","4136","4326","3691","3693","3850","3847","5658","5079","3991","4405","5076","5648","6870","6708","5316","6437","","",
"13102112726A.013","2D","13102112726B.001","전체","13103112726T1[14STD04355]","두수[두]","두","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","10836","13798","13765","11282","17220",
"13102112726A.013","2D","13102112726B.001","전체","13103112726T2[14STD05638]","경락가격[원/㎏]","원/㎏","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5260","6319","5100","5717","5189","5500",
"13102112726A.013","2D","13102112726B.002","농협서울","13103112726T1[14STD04355]","두수[두]","두","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","279","540",
"13102112726A.013","2D","13102112726B.002","농협서울","13103112726T2[14STD05638]","경락가격[원/㎏]","원/㎏","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5631","5489",
"13102112726A.013","2D","13102112726B.003","(주)협진","13103112726T1[14STD04355]","두수[두]","두","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"13102112726A.013","2D","13102112726B.003","(주)협진","13103112726T2[14STD05638]","경락가격[원/㎏]","원/㎏","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
