"[A]시도별","시도별","[Item]항목","항목","단위","2016. 1/4","2015. 4/4","2015. 3/4","2015. 2/4","2015. 1/4","2014. 4/4","2014. 3/4","2014. 2/4","2014. 1/4","2013. 4/4","2013. 3/4","2013. 2/4","2013. 1/4","2012. 4/4","2012. 3/4","2012. 2/4","2012. 1/4","2011. 4/4","2011. 3/4","2011. 2/4","2011. 1/4",
"26","울산광역시","T04","4~6개월","","10094","12584","11757","10799","9904","9642","11891","7208","13289","14008","12963","15364","14719","11997","13115","13594","14320","9201","12071","10701","11352",
"26","울산광역시","T05","6~8개월:계","","117","89","101","96","114","112","102","437","222","237","175","220","189","73","143","176","235","415","603","882","676",
"26","울산광역시","T06","6~8개월:암컷","","117","89","101","96","114","112","102","437","222","237","175","220","189","73","143","176","235","415","603","882","676",
"26","울산광역시","T07","6~8개월:수컷","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"26","울산광역시","T08","8개월이상:계","","1377","1418","1388","1319","1342","1362","1388","4493","4603","4459","4206","4459","3868","3828","4194","4484","4546","4538","4625","4502","4217",
"26","울산광역시","T09","8개월이상:암컷","","1346","1387","1357","1287","1310","1328","1355","4418","4512","4373","4109","4370","3779","3761","4115","4401","4465","4455","4543","4416","4133",
"26","울산광역시","T10","8개월이상:수컷","","31","31","31","32","32","34","33","75","91","86","97","89","89","67","79","83","81","83","82","86","84",
"31","경기도","T01","합계","","1775229","1761424","1844748","1763849","1733751","1771645","1818342","1731133","1690585","1803257","1857720","1811963","1818288","1734068","1765572","1491529","1259578","972301","754744","575559","448728",
"31","경기도","T02","2개월미만","","507906","490788","526556","528369","521228","492442","532934","507629","505738","495979","530944","523353","521278","531679","521564","449882","396522","295234","204849","159078","127492",
"31","경기도","T03","2~4개월","","609485","589073","629940","619983","552542","595228","610136","580554","571450","637856","626348","610596","601483","553766","554733","490836","419885","298322","226018","209313","117925",
